original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
Little Man,98.0,2006,95907393,152245675
Last Holiday,112.0,2006,67434885,57544377
Aquamarine,104.0,2006,17982636,34476983
The Pursuit of Happyness,117.0,2006,82420416,460171607
Rang De Basanti,157.0,2006,3296816,17236583
Eight Below,120.0,2006,59942120,180509693
ゲド戦記,115.0,2006,32968166,101901605
Vượt Sóng,135.0,2006,1948118,957575
The TV Set,87.0,2006,2997106,397413
Rescue Dawn,126.0,2006,14985530,10755329
Fido,91.0,2006,11988424,638719
The Work and the Glory III: A House Divided,89.0,2006,9740594,1985720
예의없는 것들,113.0,2006,4,5
デスノート,126.0,2006,29971060,41649583
Bommarillu,170.0,2006,1998070,7992282
Zwartboek,145.0,2006,31469613,39251701
Alatriste,145.0,2006,35965272,34949184
괴물,119.0,2006,16484083,132606421
Alone With Her,78.0,2006,1498553,15012
Дневной дозор,132.0,2006,6293922,58237841
Local Color,107.0,2006,4870297,49134
The Hoax,116.0,2006,37463825,17641656
10th & Wolf,107.0,2006,11988424,214968
The Angrez,110.0,2006,74927,449565
Dhoom 2,147.0,2006,16484083,69527505
This Is England,101.0,2006,3566556,12252984
Bug,102.0,2006,5994212,12077048
Inside Man,129.0,2006,67434885,276297592
The Foot Fist Way,85.0,2006,118385,367145
Starter for 10,92.0,2006,11,31
The Treatment,86.0,2006,1348697,123931
Добрыня Никитич и Змей Горыныч,65.0,2006,6743488,5197615
Firewall,105.0,2006,67434885,124080189
The Namesake,122.0,2006,17982636,30179113
The Fast and the Furious: Tokyo Drift,104.0,2006,127377006,237473137
Clerks II,97.0,2006,7492765,40293657
"You, Me and Dupree",108.0,2006,80921863,195458320
The Wild,94.0,2006,119884241,56021974
The Sentinel,108.0,2006,89913181,116767769
Ice Age: The Meltdown,91.0,2006,119884241,990454801
V for Vendetta,132.0,2006,80921863,198574811
Scary Movie 4,83.0,2006,67434885,267135987
Friends with Money,88.0,2006,9740594,20033311
Renaissance,105.0,2006,26973954,2744372
Dikari,100.0,2006,1198842,1990995
Stay Alive,100.0,2006,13486977,40618421
Lady in the Water,110.0,2006,112391476,63366567
ATL,105.0,2006,29971060,31725211
Akeelah and the Bee,112.0,2006,11988424,28395219
Volver,121.0,2006,19331134,128249774
Lucky Number Slevin,110.0,2006,40460931,84381843
Take the Lead,108.0,2006,44956590,52062827
Das Leben der Anderen,137.0,2006,2997106,104898711
The Shaggy Dog,98.0,2006,74927650,91580944
The Hills Have Eyes,107.0,2006,22478295,104334825
Laitakaupungin valot,78.0,2006,2068003,2420190
Date Movie,83.0,2006,29971060,72752390
She's the Man,105.0,2006,29971060,50784701
Zyzzyx Road,90.0,2006,2997106,44
Basic Instinct 2,114.0,2006,104898711,57888320
When a Stranger Calls,87.0,2006,22478295,100353580
Poseidon,99.0,2006,239768483,272249345
Little Miss Sunshine,102.0,2006,11988424,150639316
Step Up,104.0,2006,17982636,171127032
John Tucker Must Die,87.0,2006,26973954,61455163
Freedomland,113.0,2006,56442999,21962235
Crank,88.0,2006,17982636,64334441
Idiocracy,84.0,2006,44956590,742237
Sherrybaby,96.0,2006,2997106,933307
The Last Kiss,115.0,2006,29971060,23755663
The Covenant,97.0,2006,29971060,56341803
The Wind That Shakes the Barley,124.0,2006,9740594,34300407
Barnyard,90.0,2006,76426203,109063190
An Inconvenient Truth,100.0,2006,1498553,69297587
Zoom,83.0,2006,52449355,18741185
The Ant Bully,88.0,2006,74927650,82691847
Bon Cop Bad Cop,116.0,2006,11988424,18988614
The Wicker Man,102.0,2006,59942120,58076531
Crossover,95.0,2006,8691607,10489871
Find Me Guilty,125.0,2006,19481189,3951140
Curious George,86.0,2006,74927650,104651172
Beerfest,110.0,2006,26224677,28742200
Who Killed the Electric Car?,92.0,2006,1498553,2515881
Marie Antoinette,123.0,2006,59942120,90624004
The Illusionist,110.0,2006,59942120,130246761
Superman Returns,154.0,2006,404609315,586055900
Half Nelson,107.0,2006,1048987,7360480
The Queen,103.0,2006,22478295,184897657
Saw IV,93.0,2007,14517213,202301185
Walk Hard: The Dewey Cox Story,96.0,2007,50810245,26591398
Elizabeth: The Golden Age,114.0,2007,79844671,107772251
Auf der anderen Seite,122.0,2007,5516540,25847266
In the Valley of Elah,124.0,2007,33389589,42886445
Charlie Wilson's War,102.0,2007,108879097,172755430
The Brave One,122.0,2007,101620491,101281686
December Boys,105.0,2007,5806885,67467
No End in Sight,102.0,2007,2903442,2078317
Good Luck Chuck,101.0,2007,36293032,85930473
30 Days of Night,113.0,2007,43551639,109613629
I Could Never Be Your Woman,97.0,2007,34841311,13902401
The Darjeeling Limited,91.0,2007,23227540,35388829
Sweeney Todd: The Demon Barber of Fleet Street,116.0,2007,72586065,220661637
Redacted,90.0,2007,7258606,1135394
My Blueberry Nights,111.0,2007,14517213,31628271
Rendition,120.0,2007,39922335,35928171
The Kite Runner,128.0,2007,29034426,106376398
Into the Wild,148.0,2007,21775819,81666787
American Gangster,157.0,2007,145172130,386832970
The Heartbreak Kid,116.0,2007,87103278,185481567
The Bucket List,97.0,2007,65327458,254591996
The Game Plan,110.0,2007,31937868,214681334
Resident Evil: Extinction,94.0,2007,65327458,215452956
There Will Be Blood,158.0,2007,36293032,112085530
Ghost Rider,114.0,2007,159689343,332064397
I Think I Love My Wife,90.0,2007,15968934,19157269
Zodiac,157.0,2007,94361884,123085517
U2 3D,85.0,2007,21775819,32998847
Next,96.0,2007,101620491,110427853
Hot Fuzz,121.0,2007,17420655,116970664
Reno 911!: Miami,84.0,2007,14517213,29531148
The Number 23,101.0,2007,43551639,112605397
Music and Lyrics,96.0,2007,58068852,211800943
Becoming Jane,120.0,2007,23953401,54166149
Premonition,96.0,2007,29034426,122157748
Evan Almighty,96.0,2007,254051227,251147785
Michael Clayton,119.0,2007,36293032,134998227
Dan in Real Life,98.0,2007,36293032,99265594
Things We Lost in the Fire,113.0,2007,23227540,4136160
Gone Baby Gone,113.0,2007,27582704,50258154
The Death and Life of Bobby Z,97.0,2007,31937868,600219
Brooklyn Rules,99.0,2007,11613770,665225
Eastern Promises,100.0,2007,74763647,80007781
The Assassination of Jesse James by the Coward Robert Ford,160.0,2007,43551639,21357423
Mr. Woodcock,87.0,2007,31937868,47957968
National Treasure: Book of Secrets,124.0,2007,188723769,663963853
[REC],78.0,2007,2177581,44202010
Persepolis,95.0,2007,10597565,33030271
Lars and the Real Girl,106.0,2007,17420655,16395251
Aliens vs Predator: Requiem,94.0,2007,58068852,60677691
Run Fatboy Run,100.0,2007,14517213,47906802
Death Sentence,105.0,2007,29034426,24642183
The Water Horse,112.0,2007,58068852,149631009
The Nanny Diaries,106.0,2007,29034426,69302415
War,103.0,2007,36293032,58725963
The Invasion,99.0,2007,116137704,21879637
The Kingdom,110.0,2007,101620491,125804074
Sydney White,108.0,2007,23953401,19772553
3:10 to Yuma,122.0,2007,79844671,101644038
Halloween,109.0,2007,21775819,116506307
Daddy Day Camp,89.0,2007,8710327,26417550
Rush Hour 3,91.0,2007,203240982,374576371
Ji jie hao,124.0,2007,23227540,50500970
Hallam Foe,95.0,2007,11613770,88033
Quiet City,78.0,2007,3629,22392
Fred Claus,116.0,2007,145172130,142034015
Beowulf,115.0,2007,101620491,284153940
Монгол,120.0,2007,26130983,38510551
Dead Silence,89.0,2007,29034426,32253483
We Own the Night,117.0,2007,30486147,79738530
Diary of the Dead,95.0,2007,2903442,7788278
I Am Legend,101.0,2007,217758195,849763626
Taxi to the Dark Side,106.0,2007,1451721,398731
Funny Games,112.0,2007,21775819,11525029
Transformers,144.0,2007,217758195,1030300805
The Good Night,93.0,2007,21775819,29586
The Great Debaters,126.0,2007,21775819,43879937
"4 luni, 3 săptămîni și 2 zile",113.0,2007,1237606,1721426
Atonement,123.0,2007,43551639,187658294
You Kill Me,90.0,2007,5806885,3523111
P.S. I Love You,126.0,2007,43551639,227681202
Alvin and the Chipmunks,92.0,2007,87103278,524603638
The Bourne Ultimatum,115.0,2007,101620491,642857233
No Reservations,104.0,2007,40648196,134430916
I Know Who Killed Me,105.0,2007,17420655,13966138
Taare Zameen Par,165.0,2007,3774475,41272436
Wrong Turn 2: Dead End,96.0,2007,5806885,13065491
Juno,96.0,2007,10887909,335945125
The Simpsons Movie,87.0,2007,108879097,765157078
I Now Pronounce You Chuck & Larry,115.0,2007,123396310,270124996
Harry Potter and the Order of the Phoenix,138.0,2007,217758195,1362023416
Captivity,96.0,2007,24679262,3813381
디워,90.0,2007,101620491,77793975
Why Did I Get Married?,113.0,2007,21775819,80112834
I'm Not There.,135.0,2007,29034426,5808512
The Last Legion,102.0,2007,97265327,36732959
Bee Movie,91.0,2007,217758195,417507173
Shoot 'Em Up,86.0,2007,56617130,38936095
The Golden Compass,113.0,2007,261309834,540381281
Stardust,127.0,2007,101620491,196795377
Superbad,113.0,2007,29034426,176330752
Reign Over Me,124.0,2007,29034426,32260597
August Rush,114.0,2007,36293032,95990753
Earth,90.0,2007,21775819,158237621
Glyanets,118.0,2007,3629303,6800102
Бой с тенью 2: Реванш,135.0,2007,8710327,16218485
My Name Is Bruce,86.0,2007,2177581,251243
Go Go Tales,96.0,2007,5806885,1317373
Los cronocrímenes,92.0,2007,3774475,803089
Battle in Seattle,99.0,2007,11613770,1319392
Nobel Son,110.0,2007,5806885,484747
Fishtales,94.0,2007,20324098,13379
Night Of The Living Dead 3D,80.0,2007,4355163,2104916
Shootout at Lokhandwala,150.0,2007,15968934,17420655
Virgin Territory,93.0,2007,55165409,7854899
Katyń,118.0,2007,7548950,21374147
28 Weeks Later,100.0,2007,21775819,93256311
Hairspray,117.0,2007,72586065,131308203
Knocked Up,129.0,2007,43551639,318038047
Spider-Man 3,139.0,2007,374544095,1293297316
The Invisible,102.0,2007,43551639,38920812
Mr. Bean's Holiday,90.0,2007,36293032,333513144
In the Land of Women,97.0,2007,14517213,25405122
P2,98.0,2007,11613770,11274416
Антидурь,91.0,2007,7258606,2051282
Norbit,101.0,2007,87103278,138891413
Whisper,94.0,2007,17420655,7672633
Vacancy,80.0,2007,27582704,51246698
Battle for Terra,85.0,2007,5806885,8857018
Code Name: The Cleaner,84.0,2007,29034426,15007135
சிவாஜி,185.0,2007,17420655,27582704
No Country for Old Men,122.0,2007,36293032,249115375
Death Defying Acts,97.0,2007,29034426,12165902
Sukiyaki Western Django,121.0,2007,5516540,3956315
The Tracey Fragments,77.0,2007,1016204,45839
La terza madre,102.0,2007,5081024,79767
Ирония судьбы. Продолжение,125.0,2007,7258606,80766568
Son of Rambow,96.0,2007,5806885,9973686
Meet Bill,97.0,2007,7258606,503154
Я остаюсь,112.0,2007,1451721,587635
Mio fratello è figlio unico,108.0,2007,7258606,9382889
Jab We Met,145.0,2007,3338958,6677917
Stuck,85.0,2007,7258606,212174
Ladrón que roba a ladrón,98.0,2007,5810243,8
Ploy,105.0,2007,2903442,634124
How About You...,100.0,2007,13065491,1024915
హ్యాపీ డేస్,160.0,2007,638962,3833778
Eye of the Dolphin,100.0,2007,3629303,104384
Lieksa!,90.0,2007,2032409,631498
गुरु,166.0,2007,6823090,45003360
Paranormal Activity,86.0,2007,21775,280698733
Boy Culture,88.0,2007,725860,319597
Pathfinder,99.0,2007,65327458,44746203
Shrek the Third,93.0,2007,232275408,1159864586
Perfect Stranger,109.0,2007,88257396,106107196
Hitman,89.0,2007,34841311,145122413
Enchanted,107.0,2007,123396310,494293177
The Messengers,90.0,2007,23227540,1610917
Epic Movie,86.0,2007,29034426,126104589
Waitress,108.0,2007,2903442,32198350
Bridge to Terabithia,96.0,2007,87103278,199738070
The Mist,126.0,2007,26130983,82887755
Hannibal Rising,121.0,2007,72586065,119287770
The Hitcher,84.0,2007,14517213,36873641
Blades of Glory,93.0,2007,76941228,211528339
The Signal,103.0,2007,72586,362792
Freedom Writers,123.0,2007,30486147,59768504
Love in the Time of Cholera,139.0,2007,65327458,6688962
Stomp the Yard,114.0,2007,18872376,109621105
License to Wed,91.0,2007,50810245,100614773
Ratatouille,111.0,2007,217758195,905471701
Daddy's Little Girls,100.0,2007,14517213,45887811
The Lookout,99.0,2007,23227540,7791431
Disturbia,105.0,2007,29034426,170954894
TMNT,90.0,2007,49358524,138797614
Le scaphandre et le papillon,112.0,2007,20324098,28711631
12,159.0,2007,5806885,10942281
Lions for Lambs,92.0,2007,50810245,91771827
Sunshine,107.0,2007,72586065,46480926
Itty Bitty Titty Committee,87.0,2007,1451721,26826
The House of Usher,80.0,2007,188723,2434
Om Shanti Om,170.0,2007,13210663,54740699
Once,85.0,2007,232275,30065892
Pirates of the Caribbean: At World's End,169.0,2007,435516390,1395104170
Mr. Brooks,120.0,2007,29034426,60445701
Flawless,108.0,2007,29034426,9900139
Death at a Funeral,90.0,2007,13065491,66
Before the Devil Knows You're Dead,117.0,2007,26130983,36300664
A Mighty Heart,100.0,2007,23227540,27479445
Live Free or Die Hard,128.0,2007,159689343,556780796
Meet the Robinsons,95.0,2007,217758195,245824291
The Reaping,99.0,2007,58068852,91126083
1408,104.0,2007,36293032,137448389
Blonde Ambition,93.0,2007,14517213,2221828
Surf's Up,85.0,2007,123396310,216371094
Hostel: Part II,93.0,2007,14807557,51709617
Ocean's Thirteen,122.0,2007,123396310,451939167
88 Minutes,108.0,2007,43551639,24578924
Sicko,123.0,2007,13065491,35623082
Gracie,97.0,2007,13065491,4289893
Shooter,124.0,2007,88554999,138925367
Awake,84.0,2007,124848031,20866787
4: Rise of the Silver Surfer,92.0,2007,188723769,419616794
Death Proof,113.0,2007,36293032,36348048
Il Divo,110.0,2008,10268350,15893523
Step Up 2: The Streets,98.0,2008,32463512,212871295
Paris,130.0,2008,26817684,33239813
Forgetting Sarah Marshall,111.0,2008,42343711,148447335
Deception,107.0,2008,35286426,25041080
２０世紀少年< 第1章> 終わりの始まり,142.0,2008,28229141,44100775
Two Lovers,110.0,2008,16937484,4443523
Стиляги,130.0,2008,21171855,23727133
崖の上のポニョ,100.0,2008,58826282,264619288
葉問,108.0,2008,16536035,30894816
Wendy and Lucy,80.0,2008,282291,1209536
Marley & Me,115.0,2008,84687423,344511791
Doubt,104.0,2008,28229141,71853374
Dr. Horrible's Sing-Along Blog,42.0,2008,282291,4
Defiance,137.0,2008,45166625,72203394
Wild Child,98.0,2008,28229141,31013008
"10,000 BC",109.0,2008,148202990,375447576
Ong Bak 2,98.0,2008,11997384,12613716
Нирвана,93.0,2008,2822914,385521
Rambo,92.0,2008,70572852,159839451
The Day the Earth Stood Still,104.0,2008,112916564,329001971
Gran Torino,116.0,2008,46578082,381034445
The Forbidden Kingdom,104.0,2008,77630137,180534706
Superhero Movie,85.0,2008,49400996,36516982
The Spiderwick Chronicles,95.0,2008,127031134,229841196
Far Cry,95.0,2008,42343711,1063199
Expelled: No Intelligence Allowed,90.0,2008,4940099,10868219
Quantum of Solace,106.0,2008,282291410,827241891
While She Was Out,108.0,2008,8468742,552458
Inkheart,106.0,2008,84687423,81145193
Aanrijding in Moscou,102.0,2008,790415,2117185
Iron Man,126.0,2008,197603987,825948283
Vantage Point,90.0,2008,56458282,213357952
Oorlogswinter,103.0,2008,5645828,748139
The Curious Case of Benjamin Button,166.0,2008,211718558,471330794
Made of Honor,101.0,2008,56458282,119411639
Любовь-морковь 2,100.0,2008,4234371,25195511
Jodhaa Akbar,213.0,2008,11823493,18348941
Outlander,115.0,2008,70572852,9927741
Baby Mama,99.0,2008,42343711,90098171
It's Alive,80.0,2008,15526027,21877584
Nim's Island,96.0,2008,52223911,141253458
Seven Pounds,123.0,2008,77630137,237361473
The Reader,124.0,2008,45166625,159521874
The Brothers Bloom,114.0,2008,28229141,7806435
The Informers,98.0,2008,25406226,539422
Nothing But the Truth,108.0,2008,16231756,263521
Tropic Thunder,107.0,2008,129854048,265456467
Sunshine Cleaning,102.0,2008,7057285,22829438
Speed Racer,135.0,2008,169374846,132600414
Ghajini,183.0,2008,12844259,107270736
Jumper,88.0,2008,119973849,313669775
The Wrestler,109.0,2008,8468742,63097769
Role Models,99.0,2008,39520797,130391711
The Lazarus Project,99.0,2008,13761706,787593
Kismat Konnection,153.0,2008,5899890,15526027
Fireproof,122.0,2008,705728,47222154
Surveillance,97.0,2008,4940099,1574470
The Boy in the Striped Pyjamas,94.0,2008,17643213,28817101
Bride Flight,130.0,2008,9033325,3608970
The Amazing Truth About Queen Raquela,80.0,2008,564582,7417
Four Christmases,88.0,2008,112916564,231103081
The Secrets of Jonathan Sperry,96.0,2008,1411457,1784469
Fool's Gold,112.0,2008,98801993,156997837
Transporter 3,104.0,2008,42343711,153819953
Punisher: War Zone,102.0,2008,28934869,14240716
The Hurt Locker,131.0,2008,21171855,59281196
Taken,93.0,2008,35286426,320161605
Igor,87.0,2008,35286426,42343711
Australia,165.0,2008,183489417,69943345
Welcome Home Roscoe Jenkins,114.0,2008,49400996,61611208
Beverly Hills Chihuahua,91.0,2008,28229141,210704575
In Bruges,107.0,2008,21171855,48742951
Hellboy II: The Golden Army,120.0,2008,119973849,226380862
Obitaemyy Ostrov,115.0,2008,51518182,30818946
Saw V,92.0,2008,15243736,160705018
Valkyrie,121.0,2008,105859279,282680973
Twilight,122.0,2008,52223911,554161505
Milk,128.0,2008,28229141,77046619
Yes Man,104.0,2008,98801993,318976560
Bolt,98.0,2008,211718558,437523449
Cadillac Records,109.0,2008,16937484,12533802
Slumdog Millionaire,120.0,2008,21171855,533404503
Sex Drive,109.0,2008,26817684,26473198
Blindness,121.0,2008,35286426,28010335
Адмиралъ,123.0,2008,2822914,53827154
Madagascar: Escape 2 Africa,89.0,2008,211718558,852379414
RockNRolla,114.0,2008,25406226,36329514
The Express,130.0,2008,56458282,13823099
Pride and Glory,130.0,2008,42343711,43964527
The Eye,98.0,2008,16937484,79478816
Quarantine,89.0,2008,16937484,57665669
Die Welle,107.0,2008,10585927,26817684
Tarif Novogodniy,86.0,2008,4516662,5472913
Changeling,141.0,2008,77630137,159523236
The Secret Life of Bees,114.0,2008,15526027,53784128
An American Carol,83.0,2008,28229141,9880199
My Best Friend's Girl,101.0,2008,28229141,51688274
Bronson,92.0,2008,324635,3190897
The Tale of Despereaux,93.0,2008,84687423,71810905
The Secret of Moonacre,103.0,2008,16937484,9979467
W.,131.0,2008,35427572,41647106
Zack and Miri Make a Porno,102.0,2008,33874969,59429555
JCVD,96.0,2008,8468742,390819
Passengers,93.0,2008,35286426,2822914
Gong fu guan lan,100.0,2008,14114570,32317748
Stargate: The Ark of Truth,97.0,2008,9880199,12561967
"Synecdoche, New York",124.0,2008,29640598,6195621
Meet the Spartans,84.0,2008,42343711,119475366
Gitler kaput!,99.0,2008,4234371,13710188
The Sisterhood of the Traveling Pants 2,117.0,2008,38109340,62601531
Choke,92.0,2008,4234371,5406073
Bachna Ae Haseeno,153.0,2008,3387496,13549987
Jaane Tu... Ya Jaane Na,155.0,2008,3246351,15667173
One Missed Call,87.0,2008,28229141,64712131
